index,beta,alpha,upper,lower,lambda,true_y
2009-12-04,0.21875,0.09999999999999998,0.07712664091978069,-0.05510765235218329,0.9,0.0195844692761893
2009-12-07,0.78125,0.10999999999999999,0.060729486892779926,-0.058647088677390526,0.89,0.0215835716671743
2009-12-08,0.25,0.12,0.0679062434045666,-0.050670233885825186,0.88,0.0440906679343241
2009-12-10,0.390625,0.13,0.050831924055092,-0.0571381107229562,0.87,-0.0240975515790606
2009-12-11,0.46875,0.14,0.06969478320114417,-0.03378761912926177,0.86,0.0229631215084487
2009-12-14,0.3125,0.15000000000000002,0.049483410587745885,-0.05735715927899189,0.85,-0.0183281190043001
2009-12-15,0.109375,0.16000000000000003,0.05610531269376507,-0.051890508107322465,0.84,0.0551010645222707
2009-12-16,0.71875,0.07000000000000006,0.07298044212017213,-0.06761610495475612,0.9299999999999999,-0.0121080180371647
2009-12-17,0.875,0.08000000000000007,0.05364767572955502,-0.07679406327120002,0.9199999999999999,-0.0033277900926745
2009-12-18,0.5625,0.09000000000000008,0.05938369718841331,-0.0783822286257909,0.9099999999999999,0.009950330853168
2009-12-21,0.1484375,0.10000000000000009,0.06939006578452779,-0.062378877048048995,0.8999999999999999,0.0493662463032514
2009-12-22,0.71875,0.1100000000000001,0.05072651058278168,-0.07074408084091648,0.8899999999999999,-0.0105264129869876
2009-12-23,0.234375,0.1200000000000001,0.04049520055831669,-0.07248348762653428,0.8799999999999999,0.0353467150367676
2009-12-24,0.34375,0.13000000000000012,0.05063310544491668,-0.06111694247455988,0.8699999999999999,0.018219127431328
2009-12-28,0.75,0.14000000000000012,0.06458644878621383,-0.049795541492574036,0.8599999999999999,-0.0161783103964752
2009-12-29,0.5,0.15000000000000013,0.05471510788569323,-0.05134219353145004,0.8499999999999999,-0.0185190477672375
2009-12-30,0.78125,0.16000000000000014,0.056515437826847606,-0.045786783479539406,0.8399999999999999,0.0123840591997216
2009-12-31,0.96875,0.17000000000000015,0.04960018641405569,-0.054366955259439485,0.8299999999999998,0.0040941715326631
2010-01-04,0.875,0.18000000000000016,0.06116437529722557,-0.04307450270632157,0.8199999999999998,-0.0082051742391852
2010-01-05,0.75,0.19000000000000017,0.05821444606290733,-0.034051819203712926,0.8099999999999998,-0.003094381014748
2010-01-06,0.40625,0.20000000000000018,0.04740858843086043,-0.04330577228593083,0.7999999999999998,-0.0177180247311867
2010-01-07,0.625,0.2100000000000002,0.03781526385603465,-0.05880374520843765,0.7899999999999998,-0.0148307803069681
2010-01-11,0.265625,0.2200000000000002,0.03622442692199092,-0.05472499027929732,0.7799999999999998,-0.0536527134923201
2010-01-12,0.75,0.2300000000000002,0.08219314119594326,-0.017637640518860458,0.7699999999999998,-0.0204552586614017
2010-01-13,0.625,0.2400000000000002,0.05075304658085409,-0.039507921917674486,0.7599999999999998,0.0525554137679876
2010-01-14,0.78125,0.2500000000000002,0.025083085113808936,-0.05903421025507073,0.7499999999999998,-0.0054615100255219
2010-01-15,0.6875,0.26000000000000023,0.045981507679602976,-0.03396469944822858,0.7399999999999998,-0.0322788179573251
2010-01-19,0.78125,0.27000000000000024,0.04220017486746819,-0.03904448269874719,0.7299999999999998,0.0157130056645563
2010-01-20,0.96875,0.28000000000000025,0.02129355212502201,-0.05861832841919021,0.7199999999999998,0.0033351893061382
2010-01-21,0.375,0.29000000000000026,0.04226517775116782,-0.035847715967995825,0.7099999999999997,-0.0524037886715776
2010-01-22,0.0625,0.30000000000000027,0.04317423589161925,-0.03844182237729065,0.6999999999999997,-0.065240521868401
2010-01-25,0.984375,0.2100000000000003,0.07925379371533436,-0.03168864577669917,0.7899999999999997,0.0024937668784024
2010-01-27,0.96875,0.2200000000000003,0.03142030785076109,-0.07127894500265608,0.7799999999999997,0.0258158159627101
2010-01-28,0.84375,0.23000000000000032,0.045839633882700806,-0.04645742047113481,0.7699999999999997,-0.0283095828411125
2010-01-29,0.1875,0.24000000000000032,0.02443128261919553,-0.06539384069212974,0.7599999999999997,-0.0512275892066732
2010-02-01,0.328125,0.15000000000000036,0.07101533542525296,-0.03843624859333415,0.8499999999999996,0.0169385157280413
2010-02-02,0.90625,0.16000000000000036,0.05474673490950881,-0.0502409088457378,0.8399999999999996,0.011560822401076
2010-02-03,0.46875,0.17000000000000037,0.034968233663267824,-0.06261826714738203,0.8299999999999996,-0.0245649068242826
2010-02-04,0.125,0.18000000000000038,0.030698114476602954,-0.06781497408258776,0.8199999999999996,-0.0690863687522245
2010-02-05,0.15625,0.09000000000000041,0.05529962514408548,-0.06659600803107407,0.9099999999999996,0.0344624041861765
2010-02-08,0.34375,0.10000000000000042,0.09258599125984127,-0.03731121071743467,0.8999999999999996,0.0280579527951575
2010-02-09,0.265625,0.11000000000000043,0.06456958056356597,-0.051935381001360775,0.8899999999999996,-0.0159365922628126
2010-02-10,0.59375,0.12000000000000044,0.045377139851137636,-0.06906582228660404,0.8799999999999996,0.0264216162344389
2010-02-11,0.625,0.13000000000000045,0.06528799212119801,-0.04551283538719562,0.8699999999999996,0.0052015721960734
2010-02-12,0.65625,0.14000000000000046,0.02401411860274244,-0.08351538949808604,0.8599999999999995,0.0256095942043245
2010-02-16,0.1328125,0.15000000000000047,0.061219555869506455,-0.04278138175163706,0.8499999999999995,0.0249700863477589
2010-02-17,0.46875,0.0600000000000005,0.06673083345945686,-0.07813631312757587,0.9399999999999995,-0.0161594566656039
2010-02-18,0.6875,0.0700000000000005,0.07102263672038152,-0.0738840049256849,0.9299999999999995,-0.0202538569044976
