,log_value,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,se_1,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,se_10,se_11,se_12,se_13,se_14,beta
2009-06-19,-0.0206192872027357,-0.0082704787722426,-5.956241559891551e-05,-0.0035760695096326,-0.008760067935415,0.0145442611926001,0.0108267950249216,-0.0018808722374276,-0.0016753335122434,-0.0207766293311513,-0.0232030464060254,0.0038923434710887,0.012467628403871,-0.0205043932049471,0.0052250571822444,0.0405596361994557,0.0400173877912332,0.0381379577455497,0.0370230746614589,0.0347990104573915,0.0371489063830154,0.0398260985722765,0.0356210458253001,0.0410125173578199,0.0401298812640811,0.0380019463575599,0.037562319191365,0.0387381206632771,0.0373787221428584,0.46875
2009-06-22,-0.0452807045331566,0.0121049306988342,-0.0116762077188439,-0.0133936111041933,-0.0025324323788613,-0.0088143619702825,-0.0157883054454706,0.0016169555954623,-0.0005769146214508,-0.0017399410963395,-0.0041986473728226,0.0071392005684052,-0.0132457658482328,0.0118839912471766,0.0041035089833377,0.0363943598385204,0.0399729420215397,0.0392004325740789,0.0359622235693782,0.0421956183107472,0.0401811596368813,0.0357244364078889,0.0376766861579418,0.0375373158981327,0.0387101527385278,0.0398284005377012,0.0401709176134303,0.0353544784813392,0.0388284513184116,0.359375
2009-06-23,-0.0109590137897195,-0.0066176271153892,0.0068946385023162,-0.0308663504403511,0.0044668882938316,0.0179735585048986,-0.0027679673245113,-0.0112006232948406,0.0120775168755782,-0.0107592032107859,-0.011580644199758,-0.0048791107868083,-0.0172052313445554,-0.0143301128195574,0.0093201346329541,0.0388056052719284,0.042977210536555,0.0398237977906931,0.037006987218314,0.0392233227728759,0.0359961231468397,0.0399395127412759,0.0380997911742668,0.0347044195814208,0.0365283338620227,0.0393296511830836,0.0358182122365185,0.0430611941481531,0.0405584519163033,0.53125
2009-06-24,-0.0027586224390796,-0.0066254270123231,-0.0027053818416979,-0.0132870719952661,-0.0078120416330909,-0.0120277439945382,0.0070369237570629,-0.0046104465440575,-0.0052633716643553,-0.0060713838833591,-0.0158089829144668,-0.0096911936287828,0.001329929601931,-0.0179612815020514,-0.0081655107233219,0.0395302451285654,0.0373073829176539,0.0379354143535412,0.0372536842742997,0.0372801351351474,0.0400596049447869,0.0368421592363178,0.0405204685427336,0.0381844347013703,0.0358044266115379,0.0350963993578908,0.0386460126800346,0.0403030957637758,0.0412044196932493,0.9375
2009-06-25,0.0191524322147561,-0.0130732248596978,0.0050021358748385,-0.0014643309626001,0.0001453626622252,-0.0037316677812034,-0.0140170775070799,-0.019219495549126,0.010781856530326,-0.002363617034464,-0.0011354664456255,-0.0089704638484315,-0.0170987231046148,0.0081359623448989,-0.011239047298479,0.0401980743699611,0.0428898722172165,0.0355193131882361,0.0358469030800155,0.0399519131161331,0.0404782318854405,0.0390725406398015,0.0387635969358523,0.0386163562763223,0.0360403369446152,0.0422158124957098,0.0377090494687425,0.0397601025971843,0.0392406611375566,0.5
2009-06-26,0.0080972102326195,-0.0345567775613507,0.0045418556692972,0.0406940282145825,0.027833793787044,0.0056105698527467,-0.0201106394237216,0.0171165205317646,0.0121458504360282,-0.0035549199984273,0.0036939117191587,0.0161349137954935,-0.0327700985246849,-0.0220596758343633,-0.0167004817670269,0.0396930877088049,0.0376681187619017,0.0383804199919389,0.0350878778100054,0.03733707143931,0.0374637452846571,0.0408775509381919,0.0353712723598098,0.0344648022978864,0.0406014062236659,0.0361611417006123,0.0357494802652256,0.0351334272522412,0.0376379675443726,0.59375
2009-06-29,0.0133513331748641,-0.0080932885380291,-0.0243903712323421,-0.011430209667091,0.0055403260663239,-0.002305079839162,-0.005057483995147,-0.0135733680209047,0.0075986865165223,0.0132923786274224,-0.0036945103856556,0.0052151663644786,0.0034939915788076,0.0088479480702522,-0.0029553610608608,0.0398828876060494,0.0365611544504182,0.041011096423349,0.034684201538714,0.0360831162264366,0.0337642321803783,0.034246831059845,0.040813716252387,0.0396002605065153,0.0361150455597026,0.0390757121460413,0.0355234367855424,0.036075505082159,0.0357129561022775,0.21875
2009-06-30,0.0415644244212505,0.02160655940489,-0.0179244083453257,-0.0098117247774836,-0.009957008649852,-0.0169983326843189,-0.0013533511820981,-0.0189916705936342,-0.0175900922614337,0.0012225167456818,-0.0082520586074557,-0.0099433942985534,-0.018097604125102,-0.0111039877111234,0.0015815677283132,0.0361055111951036,0.0380695920965538,0.0397985540447923,0.0376785148975064,0.0371654734881916,0.0398898851897663,0.0373242931681924,0.0404892601084417,0.04022079696448,0.0363096453715943,0.0421681608687373,0.0368581110081184,0.0373531345941409,0.0427608896202761,0.21875
2009-07-01,-0.0231670592815344,-0.0060414527608518,-0.0064408411261452,-0.0081481261473646,-0.0142840603448936,-0.0021334320936664,-0.0092906967264995,0.0001704717218087,-0.0062199739839359,-0.0107561609149126,0.0103987374131468,0.0058919314682119,0.0108534246358848,-0.0059561196714855,0.0002572054138072,0.0369264080580254,0.0398731771758657,0.0373384371889093,0.0387211885786671,0.0369151510408112,0.0430048192001692,0.0398854257593248,0.0395043007214876,0.03700864263838,0.0386371437709403,0.0422295346722442,0.0385812182988246,0.0387588708861629,0.0344025456425888,0.21875
2009-07-02,-0.0263867551731948,0.0024292507177277,0.0010182101540015,-0.0056108380898089,-0.0093060686471725,0.0013839062921483,-0.000717828259717,-0.021561582109697,0.0095274491102819,-0.0091590292337787,0.0009778870273493,0.0063356933911442,8.044879829950669e-06,0.0114805216703085,0.0008767113311496,0.0421776935249721,0.0376767798568852,0.0409627893391517,0.0362726908425252,0.0389632036440179,0.0359799267152711,0.0383785636875669,0.0375043070076732,0.0369429707348293,0.0385873262024686,0.0404616903860437,0.0392730107708743,0.0392527048234314,0.0376251668801292,0.59375
